fund_name,category,fund_house,scheme_id,url,status,benchmark,aum_cr,expense_ratio,launch_date,rank_3y,rank_1y,star_rating,return_since_inception_new,return_1y,return_3y,return_5y,return_since_inception,consistency_score,category_rank,sharpe_ratio,alpha,beta,std_dev
Aditya Birla Sun Life Equity Hybrid '95 Fund,Aggressive Hybrid,Aditya Birla Sun Life Mutual Fund,32212,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-equity-hybrid-95-fund/portfolio-details/32212,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,6999,1.94,1998-04-24,,,,16.98,-1.31,11.16,9.33,,0.0,-1.0,,,,
Axis Aggressive Hybrid Fund,Aggressive Hybrid,Axis Mutual Fund,37614,https://www.etmoney.com/mutual-funds/axis-aggressive-hybrid-fund/portfolio-details/37614,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,1451,2.27,2018-07-20,,,,9.26,-1.58,9.58,8.13,,0.0,-1.0,,,,
Bandhan Aggressive Hybrid Fund,Aggressive Hybrid,Bandhan Mutual Fund,33762,https://www.etmoney.com/mutual-funds/bandhan-aggressive-hybrid-fund/portfolio-details/33762,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,1919,2.26,2016-12-12,,,,10.9,6.09,14.31,12.19,,0.0,22.0,0.7283,0.0,1.17,12.6795
Bank of India Mid & Small Cap Equity & Debt Fund,Aggressive Hybrid,Bank Of India Mutual Fund,33105,https://www.etmoney.com/mutual-funds/bank-of-india-mid-and-small-cap-equity-and-debt-fund/portfolio-details/33105,ACTIVE,,1482,2.87,2016-06-29,,,,15.06,7.78,19.88,16.65,,0.0,17.0,0.8435,0.0,1.11,16.0757
Baroda BNP Paribas Aggressive Hybrid Fund,Aggressive Hybrid,Baroda BNP Paribas Mutual Fund,34328,https://www.etmoney.com/mutual-funds/baroda-bnp-paribas-aggressive-hybrid-fund/portfolio-details/34328,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,1239,2.21,2017-03-17,,,,11.73,0.1,12.52,10.47,,0.0,-1.0,0.641,0.0,1.07,11.1782
Canara Robeco Equity Hybrid Fund,Aggressive Hybrid,Canara Robeco Mutual Fund,31854,https://www.etmoney.com/mutual-funds/canara-robeco-equity-hybrid-fund/portfolio-details/31854,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,11024,1.75,2007-07-20,,,,12.08,0.5,11.59,10.29,,0.0,-1.0,0.5818,0.0,1.08,11.4129
DSP Aggressive Hybrid Fund,Aggressive Hybrid,DSP Mutual Fund,32299,https://www.etmoney.com/mutual-funds/dsp-aggressive-hybrid-fund/portfolio-details/32299,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,11582,2.01,1999-05-03,,,,14.01,-4.15,12.36,10.14,,0.0,-1.0,,,,
Edelweiss Aggressive Hybrid Fund,Aggressive Hybrid,Edelweiss Mutual Fund,10271,https://www.etmoney.com/mutual-funds/edelweiss-aggressive-hybrid-fund/portfolio-details/10271,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,3627,1.91,2009-08-01,,,,11.62,1.4,14.55,13.61,,0.0,-1.0,0.767,0.0,1.11,11.6022
Franklin India Aggressive Hybrid Fund,Aggressive Hybrid,Franklin Templeton Mutual Fund,32375,https://www.etmoney.com/mutual-funds/franklin-india-aggressive-hybrid-fund/portfolio-details/32375,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,2306,2.18,1999-11-15,,,,12.84,-3.38,11.85,10.32,,0.0,-1.0,,,,
HDFC Hybrid Equity Fund,Aggressive Hybrid,HDFC Mutual Fund,2483,https://www.etmoney.com/mutual-funds/hdfc-hybrid-equity-fund/portfolio-details/2483,ACTIVE,NIFTY 50 Hybrid Composite Debt 65:35,22297,1.79,2005-02-28,,,,12.14,-6.79,7.31,9.22,,0.0,-1.0,,,,
HSBC Aggressive Hybrid Fund,Aggressive Hybrid,HSBC Mutual Fund,11660,https://www.etmoney.com/mutual-funds/hsbc-aggressive-hybrid-fund/portfolio-details/11660,ACTIVE,NIFTY 50 Hybrid Composite Debt 65:35,5424,1.87,2011-01-17,,,,12.13,5.79,13.82,10.85,,0.0,25.0,0.6201,0.0,1.2,13.9422
ICICI Prudential Equity & Debt Fund,Aggressive Hybrid,ICICI Prudential Mutual Fund,32369,https://www.etmoney.com/mutual-funds/icici-prudential-equity-and-debt-fund/portfolio-details/32369,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,50368,1.49,1999-09-20,,,,14.97,2.39,16.61,16.85,,0.0,-1.0,1.0238,0.0,1.02,10.7527
Invesco India Aggressive Hybrid Fund,Aggressive Hybrid,Invesco Mutual Fund,37022,https://www.etmoney.com/mutual-funds/invesco-india-aggressive-hybrid-fund/portfolio-details/37022,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,762,2.67,2018-06-11,,,,9.58,-7.4,11.4,9.74,,0.0,-1.0,0.5272,0.0,1.17,12.6441
JM Aggressive Hybrid Fund,Aggressive Hybrid,JM Financial Mutual Fund,31885,https://www.etmoney.com/mutual-funds/jm-aggressive-hybrid-fund/portfolio-details/31885,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,701,2.93,1994-12-12,,,,12.1,-2.65,15.53,13.13,,0.0,-1.0,0.7242,0.0,1.15,14.1473
Kotak Aggressive Hybrid Fund,Aggressive Hybrid,Kotak Mahindra Mutual Fund,28150,https://www.etmoney.com/mutual-funds/kotak-aggressive-hybrid-fund/portfolio-details/28150,ACTIVE,NIFTY 50 Hybrid Composite Debt 65:35,8642,1.8,2014-11-01,,,,11.58,4.45,13.71,12.25,,0.0,-1.0,,,,
LIC MF Aggressive Hybrid Fund,Aggressive Hybrid,LIC Mutual Fund,31919,https://www.etmoney.com/mutual-funds/lic-mf-aggressive-hybrid-fund/portfolio-details/31919,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,509,2.42,1991-01-01,,,,9.01,-0.57,11.06,9.12,,0.0,-1.0,,,,
Mahindra Manulife Aggressive Hybrid Fund,Aggressive Hybrid,Mahindra Manulife Mutual Fund,40569,https://www.etmoney.com/mutual-funds/mahindra-manulife-aggressive-hybrid-fund/portfolio-details/40569,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,2264,1.98,2019-06-28,,,,15.1,-2.22,13.43,12.37,,0.0,-1.0,,,,
Mirae Asset Aggressive Hybrid Fund,Aggressive Hybrid,Mirae Asset Mutual Fund,30101,https://www.etmoney.com/mutual-funds/mirae-asset-aggressive-hybrid-fund/portfolio-details/30101,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,9363,1.78,2015-07-08,,,,11.48,2.69,12.13,10.67,,0.0,-1.0,0.6015,0.0,1.1,11.6252
Navi Aggressive Hybrid Fund,Aggressive Hybrid,Navi Mutual Fund,36421,https://www.etmoney.com/mutual-funds/navi-aggressive-hybrid-fund/portfolio-details/36421,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,111,2.48,2018-04-09,,,,9.36,3.2,11.15,10.33,,0.0,-1.0,,,,
Nippon India Aggressive Hybrid Fund,Aggressive Hybrid,Nippon India Mutual Fund,2605,https://www.etmoney.com/mutual-funds/nippon-india-aggressive-hybrid-fund/portfolio-details/2605,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,3958,2.1,2005-05-10,,,,11.79,0.57,12.67,11.9,,0.0,-1.0,,,,
PGIM India Aggressive Hybrid Equity Fund,Aggressive Hybrid,PGIM India Mutual Fund,1883,https://www.etmoney.com/mutual-funds/pgim-india-aggressive-hybrid-equity-fund/portfolio-details/1883,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,204,2.38,2004-01-15,,,,12.08,-1.96,8.74,7.6,,0.0,-1.0,,,,
Quant Aggressive Hybrid Fund,Aggressive Hybrid,Quant Mutual Fund,32603,https://www.etmoney.com/mutual-funds/quant-aggressive-hybrid-fund/portfolio-details/32603,ACTIVE,NIFTY 50 Hybrid Composite Debt 65:35,2024,2.1,2001-02-19,,,,16.35,9.15,14.65,13.72,,0.0,14.0,0.5432,0.0,0.0,15.0374
SBI Equity Hybrid Fund,Aggressive Hybrid,SBI Mutual Fund,31983,https://www.etmoney.com/mutual-funds/sbi-equity-hybrid-fund/portfolio-details/31983,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,83353,1.31,1995-08-31,,,,,,,,,,,,,,
Sundaram Aggressive Hybrid Fund,Aggressive Hybrid,Sundaram Mutual Fund,32397,https://www.etmoney.com/mutual-funds/sundaram-aggressive-hybrid-fund/portfolio-details/32397,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,8484,1.99,1999-12-09,,,,10.07,-2.56,10.68,9.98,,0.0,-1.0,,,,
Tata Aggressive Hybrid Fund,Aggressive Hybrid,Tata Mutual Fund,31990,https://www.etmoney.com/mutual-funds/tata-aggressive-hybrid-fund/portfolio-details/31990,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,3865,1.93,1995-08-30,,,,14.37,-1.78,8.76,9.66,,0.0,-1.0,,,,
UTI Aggressive Hybrid Fund,Aggressive Hybrid,UTI Mutual Fund,32063,https://www.etmoney.com/mutual-funds/uti-aggressive-hybrid-fund/portfolio-details/32063,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,6524,1.85,1995-01-02,,,,14.43,-0.99,13.53,12.65,,0.0,-1.0,0.7256,0.0,1.04,11.0061
Union Aggressive Hybrid Fund,Aggressive Hybrid,Union Mutual Fund,41652,https://www.etmoney.com/mutual-funds/union-aggressive-hybrid-fund/portfolio-details/41652,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,707,2.57,2020-11-27,,,,11.07,0.11,11.27,10.15,,0.0,-1.0,,,,
